class,common_name,scientific_name,num_observations,most_recent_date
Aves,Eastern Yellow Robin,Eopsaltria australis,1,2014-03-11
Aves,Flame Robin,Petroica phoenicea,8,2025-12-28
Aves,Gang-gang Cockatoo,Callocephalon fimbriatum,1,2016-11-01
Aves,Powerful Owl,Ninox strenua,2,1992-04-12
Aves,Red-browed Treecreeper,Climacteris erythrops,1,2025-12-23
Aves,Sooty Owl,Tyto tenebricosa,1,2008-02-19
Aves,White-throated Treecreeper,Cormobates leucophaea,2,2025-12-23
Mammalia – other,Bare-nosed Wombat,Vombatus ursinus,484,2017-09-26
Mammalia – other,Southern Greater Glider,Petauroides volans,535,2026-01-08
Mammalia – other,Sugar Glider,Petaurus breviceps,3,1994-06-06
Mammalia – other,Yellow-bellied Glider,Petaurus australis,9,2025-12-27
